Non_Vegan_Ingredient;Vegan_Ingredient
milk;[oat milk, almond milk, soy milk, cashew milk]
cheese;[cashew cheese, silken tofu]
stock;[vegetable broth]
parmesan;[cashew cheese, silken tofu]
mozzarella;[vegan mozzarella, cashew cheese, silken tofu]
cream;[coconut cream]
beef;[seitan, black beans]
chicken;[mockmeat, tofu, jackfruit, soy nuggets, seitan]
meatballs;[vegan meatballs]
pork;[jackfruit, seitan]
eggs;[chickpea flour, applesauce]
bacon;[eggplant slices, mushroom slices, tempeh slices, rice paper sheets]
ham;[seitan]
butter;[Vegetable oil, avocado oil, olive oil, coconut oil]
tuna;[watermelon, jackfruit]
salmon;[jackfruit]
