Non_Vegan_Ingredient;Vegan_Ingredient
milk;[oat milk, almond milk, soy milk, cashew milk]
cheese;[cashew cheese, silken tofu]
stock;[vegetable broth]
parmesan;[cashew cheese, silken tofu]
cream;[coconut cream]
beef;[seitan, black beans]
chicken;[tofu, jackfruit, soy nuggets, seitan]
pork;[jackfruit, seitan]
eggs;[chickpea flour, applesauce]
bacon;[eggplant slices, mushroom slices, tempeh slices, rice paper sheets]
ham;[seitan]
butter;[Vegetable oil, avocado oil, olive oil, coconut oil]
tuna;[watermelon, jackfruit]
salmon;[jackfruit]
